instance_id,variant_type,repo,lang,split,status,exclusion_reason,flags,n_f2p_effective,n_p2p_effective,p_hat_orig,p_hat_source_orig,empirical_success_rate
pudo__dataset.5c2dc8d3.func_pm_op_change__fq79104s,swe_32k,swesmith/pudo__dataset.5c2dc8d3,en,train,ok,,,2,30,0.75,judge_label_mapped,0.375
bottlepy__bottle.a8dfef30.func_basic__0wprhjy0,swe_64k,swesmith/bottlepy__bottle.a8dfef30,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.75,judge_label_mapped,0.0
agronholm__typeguard.b6a7e438.combine_file__5py5l9eu,swe_32k,swesmith/agronholm__typeguard.b6a7e438,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,1,30,0.6,judge_label_mapped,0.0
pyupio__safety.7654596b.combine_file__e5r40nb1,swe_64k,swesmith/pyupio__safety.7654596b,ko,train,ok,,F2P_PRUNED:1;P2P_PRUNED:2;HARD_BUT_PARTIAL_SIGNAL,25,28,0.4,judge_label_mapped,0.0
Knio__dominate.9082227e.func_basic__vk3b9n0c,swe_32k,swesmith/Knio__dominate.9082227e,en,train,ok,,,1,30,0.75,judge_label_mapped,0.375
cknd__stackprinter.219fcc52.combine_file__tla0a4bg,swe_32k,swesmith/cknd__stackprinter.219fcc52,ko,validation,ok,,,2,5,0.4,judge_label_mapped,
pyupio__safety.7654596b.combine_module__7gp14oar,swe_32k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,2,29,0.25,judge_label_mapped,0.0
Knio__dominate.9082227e.func_basic__o8ou3kcn,swe_32k,swesmith/Knio__dominate.9082227e,ko,train,ok,,,1,30,0.75,judge_label_mapped,0.625
mahmoud__boltons.3bfcfdd0.combine_file__zbreonqj,swe_128k,swesmith/mahmoud__boltons.3bfcfdd0,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,3,30,0.6,judge_label_mapped,0.0
jd__tenacity.0d40e76f.combine_file__ktykmrgz,swe_32k,swesmith/jd__tenacity.0d40e76f,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,5,30,0.6,judge_label_mapped,0.0
pyupio__safety.7654596b.combine_file__ve70248y,swe_64k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,13,29,0.4,judge_label_mapped,0.0
cantools__cantools.0c6a7871.combine_file__1n52hkra,swe_64k,swesmith/cantools__cantools.0c6a7871,en,validation,ok,,,2,30,0.75,judge_label_mapped,
cknd__stackprinter.219fcc52.func_basic__3j9zhzsn,swe_32k,swesmith/cknd__stackprinter.219fcc52,en,validation,ok,,,1,6,0.75,judge_label_mapped,
luozhouyang__python-string-similarity.115acaac.func_basic__rkija2xk,swe_32k,swesmith/luozhouyang__python-string-similarity.115acaac,ko,excluded,excluded,BUG_IN_TEST_FILE,gold_touches_tests,0,0,0.4,judge_label_mapped,
pyupio__safety.7654596b.combine_file__sbf8hcsg,swe_32k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,13,29,0.25,judge_label_mapped,0.0
PyCQA__flake8.cf1542ce.combine_file__4w2x9qv4,swe_128k,swesmith/PyCQA__flake8.cf1542ce,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,46,30,0.4,judge_label_mapped,0.0
jaraco__inflect.c079a96a.func_basic__dbo4i67m,swe_64k,swesmith/jaraco__inflect.c079a96a,en,excluded,excluded,TOO_HARD,gold_touches_tests,7,30,0.75,judge_label_mapped,0.0
oauthlib__oauthlib.1fd52536.combine_file__5u9sk9ee,swe_32k,swesmith/oauthlib__oauthlib.1fd52536,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,5,30,0.4,judge_label_mapped,0.0
pdfminer__pdfminer.six.1a8bd2f7.combine_file__s1ljna0u,swe_32k,swesmith/pdfminer__pdfminer.six.1a8bd2f7,en,train,ok,,F2P_PRUNED:3;HARD_BUT_PARTIAL_SIGNAL,50,30,0.4,judge_label_mapped,0.0
cantools__cantools.0c6a7871.combine_file__38ex0or2,swe_32k,swesmith/cantools__cantools.0c6a7871,ko,validation,ok,,,2,30,0.6,judge_label_mapped,
bottlepy__bottle.a8dfef30.func_basic__3o4hv5ws,swe_64k,swesmith/bottlepy__bottle.a8dfef30,ko,train,ok,,,1,30,0.75,judge_label_mapped,0.875
Suor__funcy.207a7810.combine_file__kf50a2ph,swe_64k,swesmith/Suor__funcy.207a7810,ko,excluded,excluded,TOO_HARD,,2,30,0.6,judge_label_mapped,0.0
pygments__pygments.27649ebb.combine_file__1uoyde1x,swe_64k,swesmith/pygments__pygments.27649ebb,ko,train,ok,,,9,30,0.4,judge_label_mapped,0.25
pyupio__safety.7654596b.combine_module__9rn6emo5,swe_128k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,2,29,0.4,judge_label_mapped,0.0
cknd__stackprinter.219fcc52.combine_file__wvbrr8iz,swe_32k,swesmith/cknd__stackprinter.219fcc52,ko,validation,ok,,,2,4,0.4,judge_label_mapped,
Suor__funcy.207a7810.combine_file__b3usvi20,swe_32k,swesmith/Suor__funcy.207a7810,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.6,judge_label_mapped,0.0
cknd__stackprinter.219fcc52.combine_file__tn5q5tqx,swe_32k,swesmith/cknd__stackprinter.219fcc52,ko,validation,ok,,,2,5,0.25,judge_label_mapped,
agronholm__exceptiongroup.0b4f4937.combine_file__t8u2uac6,swe_32k,swesmith/agronholm__exceptiongroup.0b4f4937,en,test,ok,,,10,30,0.4,judge_label_mapped,
pyupio__safety.7654596b.combine_file__rof0dnio,swe_128k,swesmith/pyupio__safety.7654596b,ko,train,ok,,F2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,7,30,0.4,judge_label_mapped,0.0
mahmoud__boltons.3bfcfdd0.func_basic__cgc05xp5,swe_128k,swesmith/mahmoud__boltons.3bfcfdd0,en,train,ok,,,1,30,0.75,judge_label_mapped,0.125
Cog-Creators__Red-DiscordBot.33e0eac7.combine_file__eq2t7cw0,swe_128k,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,en,validation,ok,,,4,30,0.6,judge_label_mapped,
joke2k__faker.8b401a7d.combine_module__dk371i7h,swe_64k,swesmith/joke2k__faker.8b401a7d,ko,test,ok,,GOLD_WHITESPACE_MISMATCH,5,30,0.4,judge_label_mapped,
mahmoud__boltons.3bfcfdd0.combine_file__ol79yd75,swe_32k,swesmith/mahmoud__boltons.3bfcfdd0,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.4,judge_label_mapped,0.0
Suor__funcy.207a7810.combine_file__5pn9f8oq,swe_64k,swesmith/Suor__funcy.207a7810,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,4,30,0.4,judge_label_mapped,0.0
Suor__funcy.207a7810.combine_file__kgrqkjkr,swe_64k,swesmith/Suor__funcy.207a7810,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,15,30,0.4,judge_label_mapped,0.0
oauthlib__oauthlib.1fd52536.combine_file__39khb9no,swe_32k,swesmith/oauthlib__oauthlib.1fd52536,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,1,30,0.6,judge_label_mapped,0.0
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__1qhrm4tp,swe_128k,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,ko,validation,ok,,,3,30,0.6,judge_label_mapped,
cknd__stackprinter.219fcc52.combine_file__rmvmrjvl,swe_32k,swesmith/cknd__stackprinter.219fcc52,en,validation,ok,,,1,6,0.4,judge_label_mapped,
agronholm__typeguard.b6a7e438.combine_file__l6xpw0sc,swe_32k,swesmith/agronholm__typeguard.b6a7e438,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,50,30,0.4,judge_label_mapped,0.0
bottlepy__bottle.a8dfef30.func_basic__6b8t5a7k,swe_128k,swesmith/bottlepy__bottle.a8dfef30,ko,train,ok,,,8,30,0.75,judge_label_mapped,0.25
jaraco__inflect.c079a96a.func_basic__e6bhg47n,swe_64k,swesmith/jaraco__inflect.c079a96a,en,excluded,excluded,TOO_HARD,gold_touches_tests,8,30,0.4,judge_label_mapped,0.0
joke2k__faker.8b401a7d.combine_file__30sjljt6,swe_128k,swesmith/joke2k__faker.8b401a7d,ko,test,ok,,,3,30,0.4,judge_label_mapped,
jaraco__inflect.c079a96a.func_basic__eyxpbrah,swe_64k,swesmith/jaraco__inflect.c079a96a,en,excluded,excluded,TOO_HARD,gold_touches_tests,7,30,0.6,judge_label_mapped,0.0
PyCQA__flake8.cf1542ce.combine_file__v8lc596p,swe_32k,swesmith/PyCQA__flake8.cf1542ce,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,5,30,0.4,judge_label_mapped,0.0
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__k8yyxz57,swe_128k,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,ko,validation,ok,,,5,30,0.6,judge_label_mapped,
pdfminer__pdfminer.six.1a8bd2f7.func_basic__1ageli1n,swe_32k,swesmith/pdfminer__pdfminer.six.1a8bd2f7,en,train,ok,,,2,30,0.4,judge_label_mapped,0.25
pygments__pygments.27649ebb.combine_file__1av74s7e,swe_128k,swesmith/pygments__pygments.27649ebb,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,29,30,0.25,judge_label_mapped,0.0
cantools__cantools.0c6a7871.combine_file__2brlcts5,swe_32k,swesmith/cantools__cantools.0c6a7871,en,validation,ok,,,7,30,0.6,judge_label_mapped,
luozhouyang__python-string-similarity.115acaac.func_basic__1ouyfaee,swe_32k,swesmith/luozhouyang__python-string-similarity.115acaac,en,test,ok,,,2,16,0.6,judge_label_mapped,
pyupio__safety.7654596b.combine_module__6gxvy2xw,swe_64k,swesmith/pyupio__safety.7654596b,ko,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,1,29,0.6,judge_label_mapped,0.0
cknd__stackprinter.219fcc52.combine_file__eusfx4hz,swe_32k,swesmith/cknd__stackprinter.219fcc52,en,validation,ok,,,1,6,0.6,judge_label_mapped,
pyupio__safety.7654596b.combine_module__5bh42ayv,swe_128k,swesmith/pyupio__safety.7654596b,ko,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,4,29,0.4,judge_label_mapped,0.0
jaraco__inflect.c079a96a.func_basic__5cucjnbf,swe_64k,swesmith/jaraco__inflect.c079a96a,en,excluded,excluded,TOO_HARD,gold_touches_tests,1,30,0.75,judge_label_mapped,0.0
pdfminer__pdfminer.six.1a8bd2f7.func_basic__06convwo,swe_64k,swesmith/pdfminer__pdfminer.six.1a8bd2f7,en,train,ok,,,1,30,0.6,judge_label_mapped,0.25
Knio__dominate.9082227e.combine_file__goh3sa64,swe_32k,swesmith/Knio__dominate.9082227e,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,5,30,0.6,judge_label_mapped,0.0
jaraco__inflect.c079a96a.func_basic__f3ammn7c,swe_64k,swesmith/jaraco__inflect.c079a96a,en,excluded,excluded,BUG_IN_TEST_FILE,gold_touches_tests,0,0,0.75,judge_label_mapped,
Knio__dominate.9082227e.func_pm_ctrl_shuffle__p7q9mdxe,swe_32k,swesmith/Knio__dominate.9082227e,ko,train,ok,,,1,30,0.75,judge_label_mapped,0.875
cantools__cantools.0c6a7871.combine_file__1n4yyvlw,swe_32k,swesmith/cantools__cantools.0c6a7871,en,validation,ok,,,4,30,0.75,judge_label_mapped,
luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_base__9yoz5qo5,swe_32k,swesmith/luozhouyang__python-string-similarity.115acaac,en,test,ok,,,1,17,0.75,judge_label_mapped,
PyCQA__flake8.cf1542ce.combine_file__ddyvctvg,swe_32k,swesmith/PyCQA__flake8.cf1542ce,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,3,30,0.6,judge_label_mapped,0.0
agronholm__typeguard.b6a7e438.combine_file__z8bzaj2a,swe_64k,swesmith/agronholm__typeguard.b6a7e438,ko,train,ok,,F2P_PRUNED:72;HARD_BUT_PARTIAL_SIGNAL,50,30,0.25,judge_label_mapped,0.0
oauthlib__oauthlib.1fd52536.combine_file__519420f6,swe_128k,swesmith/oauthlib__oauthlib.1fd52536,en,train,ok,,F2P_PRUNED:21;HARD_BUT_PARTIAL_SIGNAL,50,30,0.4,judge_label_mapped,0.0
agronholm__exceptiongroup.0b4f4937.combine_module__3hhws1dx,swe_32k,swesmith/agronholm__exceptiongroup.0b4f4937,ko,test,ok,,,28,30,0.4,judge_label_mapped,
Knio__dominate.9082227e.func_basic__n967oo4y,swe_32k,swesmith/Knio__dominate.9082227e,ko,train,ok,,,4,30,0.75,judge_label_mapped,0.125
agronholm__typeguard.b6a7e438.combine_module__1knoriqb,swe_64k,swesmith/agronholm__typeguard.b6a7e438,ko,train,ok,,F2P_PRUNED:59;HARD_BUT_PARTIAL_SIGNAL,50,30,0.25,judge_label_mapped,0.0
pygments__pygments.27649ebb.combine_file__2u34qh2v,swe_64k,swesmith/pygments__pygments.27649ebb,en,train,ok,,F2P_PRUNED:158;HARD_BUT_PARTIAL_SIGNAL,50,30,0.6,judge_label_mapped,0.0
pyupio__safety.7654596b.combine_file__m92kensw,swe_64k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,4,29,0.4,judge_label_mapped,0.0
mahmoud__boltons.3bfcfdd0.combine_file__ihyco1e8,swe_128k,swesmith/mahmoud__boltons.3bfcfdd0,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.6,judge_label_mapped,0.0
jd__tenacity.0d40e76f.combine_file__hmo3b7hp,swe_32k,swesmith/jd__tenacity.0d40e76f,en,train,ok,,P2P_PRUNED:16;HARD_BUT_PARTIAL_SIGNAL,26,14,0.4,judge_label_mapped,0.0
pygments__pygments.27649ebb.combine_file__3zhkehcy,swe_64k,swesmith/pygments__pygments.27649ebb,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,11,30,0.4,judge_label_mapped,0.0
jaraco__inflect.c079a96a.func_basic__5pzge45q,swe_64k,swesmith/jaraco__inflect.c079a96a,en,excluded,excluded,TOO_HARD,gold_touches_tests,6,30,0.6,judge_label_mapped,0.0
mahmoud__boltons.3bfcfdd0.func_basic__5vq1fa1x,swe_32k,swesmith/mahmoud__boltons.3bfcfdd0,ko,excluded,excluded,TOO_EASY,,4,30,0.75,judge_label_mapped,1.0
agronholm__exceptiongroup.0b4f4937.combine_file__74zzufuj,swe_32k,swesmith/agronholm__exceptiongroup.0b4f4937,ko,test,ok,,,38,30,0.75,judge_label_mapped,
oauthlib__oauthlib.1fd52536.combine_file__0qgnxkrq,swe_128k,swesmith/oauthlib__oauthlib.1fd52536,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,13,30,0.6,judge_label_mapped,0.0
cantools__cantools.0c6a7871.combine_file__07mxw5uc,swe_128k,swesmith/cantools__cantools.0c6a7871,ko,validation,ok,,,8,30,0.25,judge_label_mapped,
agronholm__exceptiongroup.0b4f4937.combine_file__m8abag3k,swe_32k,swesmith/agronholm__exceptiongroup.0b4f4937,en,test,ok,,,33,30,0.6,judge_label_mapped,
oauthlib__oauthlib.1fd52536.combine_file__0mvyid7d,swe_32k,swesmith/oauthlib__oauthlib.1fd52536,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,13,30,0.6,judge_label_mapped,0.0
pyupio__safety.7654596b.combine_file__mwteckxl,swe_128k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,1,29,0.75,judge_label_mapped,0.0
bottlepy__bottle.a8dfef30.func_basic__35d6hr69,swe_128k,swesmith/bottlepy__bottle.a8dfef30,en,train,ok,,F2P_PRUNED:11;HARD_BUT_PARTIAL_SIGNAL,50,30,0.6,judge_label_mapped,0.0
cantools__cantools.0c6a7871.combine_file__2yrjny26,swe_128k,swesmith/cantools__cantools.0c6a7871,ko,validation,ok,,,4,30,0.6,judge_label_mapped,
Knio__dominate.9082227e.pr_166,swe_32k,swesmith/Knio__dominate.9082227e,en,train,ok,,,1,30,0.75,judge_label_mapped,0.5
agronholm__typeguard.b6a7e438.combine_module__1qs2br8y,swe_32k,swesmith/agronholm__typeguard.b6a7e438,ko,train,ok,,F2P_PRUNED:140;HARD_BUT_PARTIAL_SIGNAL,50,30,0.25,judge_label_mapped,0.0
luozhouyang__python-string-similarity.115acaac.combine_file__d9cyukdt,swe_32k,swesmith/luozhouyang__python-string-similarity.115acaac,en,excluded,excluded,BUG_IN_TEST_FILE,gold_touches_tests,0,0,0.4,judge_label_mapped,
bottlepy__bottle.a8dfef30.func_basic__5jjbzd7u,swe_128k,swesmith/bottlepy__bottle.a8dfef30,en,excluded,excluded,TOO_HARD,,1,30,0.75,judge_label_mapped,0.0
jd__tenacity.0d40e76f.combine_file__l80x0v9y,swe_64k,swesmith/jd__tenacity.0d40e76f,en,train,ok,,F2P_PRUNED:45;P2P_PRUNED:3;HARD_BUT_PARTIAL_SIGNAL,50,25,0.75,judge_label_mapped,0.0
pdfminer__pdfminer.six.1a8bd2f7.combine_file__k4rf315w,swe_32k,swesmith/pdfminer__pdfminer.six.1a8bd2f7,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,35,30,0.25,judge_label_mapped,0.0
pdfminer__pdfminer.six.1a8bd2f7.combine_file__4bmgk2fe,swe_32k,swesmith/pdfminer__pdfminer.six.1a8bd2f7,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,35,30,0.4,judge_label_mapped,0.0
agronholm__typeguard.b6a7e438.combine_file__klhoyyyb,swe_64k,swesmith/agronholm__typeguard.b6a7e438,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,4,30,0.6,judge_label_mapped,0.0
jd__tenacity.0d40e76f.combine_module__nakua4hv,swe_32k,swesmith/jd__tenacity.0d40e76f,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,15,30,0.4,judge_label_mapped,0.0
luozhouyang__python-string-similarity.115acaac.combine_file__jzax0e58,swe_32k,swesmith/luozhouyang__python-string-similarity.115acaac,ko,test,ok,,,6,12,0.4,judge_label_mapped,
agronholm__typeguard.b6a7e438.combine_file__vt93kwbv,swe_64k,swesmith/agronholm__typeguard.b6a7e438,ko,train,ok,,,1,30,0.6,judge_label_mapped,0.25
bottlepy__bottle.a8dfef30.func_basic__5wlfrp85,swe_64k,swesmith/bottlepy__bottle.a8dfef30,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,18,30,0.6,judge_label_mapped,0.0
oauthlib__oauthlib.1fd52536.combine_file__1utlssis,swe_64k,swesmith/oauthlib__oauthlib.1fd52536,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,1,30,0.4,judge_label_mapped,0.0
pudo__dataset.5c2dc8d3.func_pm_remove_assign__wisytcfw,swe_32k,swesmith/pudo__dataset.5c2dc8d3,ko,train,ok,,,2,30,0.75,judge_label_mapped,0.5
pyupio__safety.7654596b.combine_file__ar1yz5p5,swe_32k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,1,29,0.4,judge_label_mapped,0.0
mahmoud__boltons.3bfcfdd0.combine_file__ozufqtez,swe_64k,swesmith/mahmoud__boltons.3bfcfdd0,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.4,judge_label_mapped,0.0
bottlepy__bottle.a8dfef30.func_basic__1dt250gk,swe_64k,swesmith/bottlepy__bottle.a8dfef30,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.75,judge_label_mapped,0.0
cknd__stackprinter.219fcc52.combine_file__762052u8,swe_32k,swesmith/cknd__stackprinter.219fcc52,en,validation,ok,,,2,5,0.6,judge_label_mapped,
jd__tenacity.0d40e76f.combine_file__s88gei6c,swe_64k,swesmith/jd__tenacity.0d40e76f,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,14,30,0.6,judge_label_mapped,0.0
pudo__dataset.5c2dc8d3.combine_file__4oc6t9ws,swe_32k,swesmith/pudo__dataset.5c2dc8d3,en,train,ok,,,5,30,0.75,judge_label_mapped,0.125
PyCQA__flake8.cf1542ce.func_basic__4p568z8i,swe_32k,swesmith/PyCQA__flake8.cf1542ce,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,4,30,0.75,judge_label_mapped,0.0
cantools__cantools.0c6a7871.combine_file__2x8k5l18,swe_64k,swesmith/cantools__cantools.0c6a7871,en,validation,ok,,,23,30,0.4,judge_label_mapped,
pudo__dataset.5c2dc8d3.combine_file__2krxnkkn,swe_32k,swesmith/pudo__dataset.5c2dc8d3,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,30,28,0.4,judge_label_mapped,0.0
Knio__dominate.9082227e.combine_file__d7fon4r9,swe_32k,swesmith/Knio__dominate.9082227e,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,7,30,0.4,judge_label_mapped,0.0
pudo__dataset.5c2dc8d3.func_pm_op_change_const__06dgb4ak,swe_32k,swesmith/pudo__dataset.5c2dc8d3,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.75,judge_label_mapped,0.0
pdfminer__pdfminer.six.1a8bd2f7.combine_file__n3q10r4i,swe_32k,swesmith/pdfminer__pdfminer.six.1a8bd2f7,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,6,30,0.25,judge_label_mapped,0.0
Suor__funcy.207a7810.combine_file__n10h9w68,swe_32k,swesmith/Suor__funcy.207a7810,ko,excluded,excluded,TOO_HARD,,8,30,0.6,judge_label_mapped,0.0
